ID,GamePSID,name,Publisher,ReleaseYear,ReleaseDate,Developer,Genre,Features,Size,Medium,Hardware,CompletionTime(Hours),is_Digital_game,is_Physical_game,OfficialWebsite
4730,4132,Stories: The Path of Destinies,Spearhead Games,2016.0,2016-04-12,Spearhead Games,Action-Adventure,PS Plus,2150.4,Digital only,,15-20,0,0,http://www.storiesthepathofdestinies.com
4731,7807,Storm Boy,Level 77,2018.0,2018-11-21,Blowfish Studios,Adventure,,468.0,Digital only,,0-1,0,0,https://stormboythegame.com/
4732,7808,Storm Boy (EU),Blowfish Studios,2018.0,2018-11-20,Blowfish Studios,Adventure,,468.0,Digital only,,0-1,0,0,https://stormboythegame.com/
4733,9405,Story of a Gladiator,Brain Seal,2019.0,2019-11-26,Brain Seal,Beat 'em up,,2375.68,Physical and Digital,,nan,0,0,http://www.storyofagladiator.com/
4734,9401,Story of a Gladiator (EU),Brain Seal,2019.0,2019-11-27,Brain Seal,Beat 'em up,,2375.68,Digital only,,nan,0,0,https://brainseal.com/gladiator/
4735,13723,STORY OF SEASONS: Friends of Mineral Town,"Marvelous Entertainment, XSEED Games, SEGA",2021.0,2021-10-26,Natsume,"Simulation, Management",,NA,Physical and Digital,,nan,0,0,http://www.storyofseasons.com/fomt/
4736,5447,STRAFE,Devolver Digital,2017.0,2017-05-09,Pixel Titans,First Person Shooter,,2457.6,Physical and Digital,,nan,0,0,http://www.strafe1996.com/
4737,9171,Straimium Immortaly,Digerati,2019.0,2019-12-17,Stage Clear Studios,Shoot 'em up,,65.0,Digital only,,nan,0,0,https://www.digerati.games/game/51-straimium-immortaly
4738,10084,Stranded Deep,Beam Team Games,2020.0,2020-04-21,"Beam Team Games, Fun Labs",Survival,"PS Plus, PS Now",1126.4,Digital only,,nan,0,0,http://www.beamteamgames.com/stranded-deep
4739,10085,Stranded Deep (EU),Beam Team Games,2020.0,2020-04-21,"Beam Team Games, Fun Labs",Survival,PS Now,1126.4,Digital only,,nan,0,0,http://www.beamteamgames.com/stranded-deep
4740,9152,Stranded Sails: Explorers of the Cursed Islands,Merge Games,2019.0,2019-10-17,Lemonbomb Entertainment,"Action-Adventure, Management",,594.0,Physical and Digital,,15-20,0,0,https://www.mergegames.com/stranded-sails
4741,7437,Strange Brigade,Rebellion,2018.0,2018-08-28,Rebellion,Third Person Shooter,,28764.16,Physical and Digital,PS4 Pro,15-20,0,0,http://strangebrigade.com/
4742,-5022,Stranger of Paradise: Final Fantasy Origin (PS4),,,,,,,NA,,,nan,0,0,http://strangebrigade.com/
4743,8691,Stranger Things 3: The Game,BonusXP,2019.0,2019-07-04,BonusXP,Action-Adventure,,906.0,Physical and Digital,,nan,0,0,https://bonusxp.com/games/strangerthings3thegame/
4744,13164,Strategic Mind: Blitzkrieg,Klabater,2021.0,2021-08-05,Starni Games,"Strategy, Turn Based",,NA,Digital only,,nan,0,0,https://klabater.com/en/games/strategic-mind-blitzkrieg/
4745,13163,Strategic Mind: Blitzkrieg (EU),Klabater,2021.0,2021-08-05,Starni Games,"Strategy, Turn Based",,NA,Digital only,,nan,0,0,https://klabater.com/en/games/strategic-mind-blitzkrieg/
