gameid,name,web,publisher,developer,release,platform,genre,hardware,notes,medium,size,completion est,links,features
9113,Noble Armada: Lost Worlds,https://www.holistic-design.com/noble-armada/,Hoplite Research,Holistic Design,29 December 2020,"Xbox One, Xbox Series X|S","Strategy, Turn Based",,ID@Xbox,Digital only,305MB,,Official site,
-4717,Nobody Saves the World,https://www.nobodysavestheworld.com/,,,,,,,"xCloud, Xbox Game Pass for PC, Xbox Game Pass",,,,Official site,
-4099,Noel The Mortal Fate,https://www.nobodysavestheworld.com/,,,,,,,,,,,,
7394,Noir Chronicles: City of Crime,https://www.artifexmundi.com/g/noir-chronicles-city-crime/,Artifex Mundi,"Brave Giant, Artifex Mundi",09 November 2018,"Xbox One, Xbox Series X|S","Adventure, Point & Click",,ID@Xbox,Digital only,1.32GB,2-3 hours,Official site,"Xbox One X Enhanced, 4K, HDR"
-3977,Nom Nom Apocalypse,https://www.nomnomapocalypse.com/,,,,,,,,,,,Official site,
9360,Nongunz: Doppelganger Edition,https://brainwashgang.com/nongunz/,Digerati,"Brainwash Gang, Kittehface Software",07 May 2021,"Xbox One, Xbox Series X|S, Windows (Windows 10+)","Roguelite, Platformer",64-Bit,"ID@Xbox, xCloud, Xbox Game Pass, Xbox Game Pass for PC",Digital only,450MB,,Official site,"Xbox One X Enhanced, Xbox Play Anywhere, 4K, HDR"
8664,Norman's Great Illusion,,Sometimes You,Civil Savages,19 August 2020,"Xbox One, Xbox Series X|S","Simulation, Management",,ID@Xbox,Digital only,249MB,0-1 hour,,"Xbox One X Enhanced, 4K"
6912,NORTH,,Sometimes You,"Outlands, Sometimes You",06 March 2018,"Xbox One, Xbox Series X|S",Adventure,,ID@Xbox,Digital only,1.39GB,0-1 hour,,"Xbox One X Enhanced, 4K"
8048,Northgard,http://northgard.net/,Shiro Games,Shiro Games,04 October 2019,"Xbox One, Xbox Series X|S","Strategy, Management, Real Time",,,Physical and Digital,711MB,,Official site,
5954,NOT A HERO: SUPER SNAZZY EDITION,http://www.roll7.co.uk/#!not-a-hero/czje,Team17 Software,Roll7,24 May 2016,"Xbox One, Xbox Series X|S",Run & Gun,,ID@Xbox,Digital only,774MB,10-12 hours,Official site,
-2828,Not Tonight,http://nottonightgame.com,,,,,,,,,,,Official site,
5640,Nova-111,http://nova111.com/,Curve Games,Funktronic Labs,28 August 2015,"Xbox One, Xbox Series X|S",Puzzle,,ID@Xbox,Digital only,403MB,,Official site,
5731,NOW That's What I Call Sing,http://www.voxler.fr/index.php/portfolio_page/now-thats-what-i-call-sing-2/,Ravenscourt,Voxler,23 October 2015,"Xbox One, Xbox Series X|S",Music,,,Physical and Digital,3.02GB,12-15 hours,Official site,
6169,NOW That's What I Call Sing 2,,Ravenscourt,Voxler,14 October 2016,"Xbox One, Xbox Series X|S",Music,,,Physical and Digital,4.34GB,,,
10025,Nowhere Girl,https://www.penguinpop.com/nowhere-girl/,Penguin Pop Games,Trainwreck Studios,27 October 2021,"Xbox One, Xbox Series X|S",Visual Novel,,,Digital only,474MB,0-1 hour,Official site,"Smart Delivery, Optimized for Series X|S, 4K"
